x,mu_interventional,mu_observational,ace_interventional,ace_standardized,copula_xz_family,copula_yz_family,copula_xy_family,copula_xz_tau,copula_yz_tau,copula_xy_tau
63.08619410277039,3.1857403629261367,3.2463658095861723,-0.001847402115996715,-0.023610647009146668,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
64.25437864487238,3.1837286065772896,3.24652064345315,-0.0016306865921873197,-0.020840923141365274,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
65.42256318697437,3.1819304771861243,3.247364056356852,-0.0017730285259715105,-0.022660118390778874,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
66.59074772907636,3.179586157543798,3.249468930719761,-0.0021102933189561554,-0.026970517251330758,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
67.75893227117834,3.177000053117113,3.2531184591600337,-0.0022081771738486607,-0.02822151784603051,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
68.92711681328032,3.174427040662373,3.2581394501850176,-0.0022198526740783505,-0.0283707360980783,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
70.0953013553823,3.171813657957909,3.2646652435842305,-0.002415448628823789,-0.03087054217923567,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
71.2634858974843,3.1687836611615063,3.2740369420535442,-0.00246117813018317,-0.03145498619667586,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
72.43167043958628,3.16606343746383,3.284105390414165,-0.0022721894660798604,-0.02903962432270399,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
73.59985498168827,3.1634749879395034,3.2951395199633775,-0.0024421804263109665,-0.03121218682114906,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
74.76803952379025,3.160357602617749,3.3103039220206623,-0.002768615675122972,-0.03538417913636027,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
75.93622406589223,3.1570064798701036,3.3288740263269947,-0.002732998548176831,-0.034928975905551156,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
77.10440860799423,3.153972309302614,3.3476881955142823,-0.002597338398289237,-0.03319517692130792,Survival Clayton,Rotated Joe 90 degrees,Frank,0.1056325280304115,-0.023543331920824695,0.03265495390054764
